teamCountry,Number_of_Athletes
United States of America,615
Japan,586
Australia,470
People's Republic of China,401
Germany,400
France,377
Canada,368
Great Britain,366
Italy,356
Spain,324
ROC,318
Brazil,291
Netherlands,274
Republic of Korea,223
New Zealand,202
Poland,195
Argentina,180
South Africa,171
Mexico,155
Hungary,155
Ukraine,152
Egypt,133
Sweden,129
Belgium,125
Czech Republic,117
India,117
Ireland,116
Switzerland,115
Belarus,104
Denmark,103
Turkey,102
Romania,99
Norway,92
Kazakhstan,92
Portugal,85
Israel,85
Serbia,83
Kenya,78
Greece,75
Austria,72
Cuba,69
Chinese Taipei,67
Islamic Republic of Iran,66
Colombia,64
Uzbekistan,63
Dominican Republic,61
Jamaica,60
Nigeria,59
Croatia,57
Tunisia,57
Slovenia,51
Morocco,48
Ecuador,46
Finland,45
Venezuela,43
Mongolia,43
Ethiopia,42
Azerbaijan,41
Bulgaria,41
"Hong Kong, China",40
Thailand,39
Slovakia,38
Lithuania,37
Puerto Rico,35
Georgia,35
Estonia,33
Saudi Arabia,32
Bahrain,31
Malaysia,29
Latvia,29
Cï¿½te d'Ivoire,29
Fiji,28
Indonesia,26
Uganda,24
Republic of Moldova,19
Philippines,18
Kyrgyzstan,16
Armenia,16
Bahamas,16
Ghana,14
Qatar,14
Botswana,13
Jordan,11
Namibia,11
Kuwait,10
Kosovo,10
Turkmenistan,8
North Macedonia,8
Burkina Faso,7
Grenada,6
Syrian Arab Republic,6
San Marino,4
Bermuda,2
